Plate,Row,Column,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ExperimentBaseLine,Phenotypes.ColonySize48h
0,1,38,NoGrowth,NoGrowth,0.182330729,-9.579078921,-14.46098215
0,1,39,0,0,0,0,0
0,1,40,NoGrowth,NoGrowth,-0.762771439,-6.848969631,-12.10941372
0,1,41,0,0,0,0,0
0,1,42,NoGrowth,NoGrowth,-0.225675382,-7.62318334,-12.95393667
0,1,43,0,0,0,0,0
0,1,44,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,1,45,0,0,0,0,0
0,1,46,-1.707602981,0.025644163,-0.459025353,-0.038799247,-1.412196045
0,1,47,0,0,0,0,0
0,2,0,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,1,NoGrowth,NoGrowth,0.46287241,-8.679988538,-12.49115124
0,2,2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,3,NoGrowth,NoGrowth,0.205617357,-9.806616274,-13.10609805
0,2,4,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,5,-7.660043311,0.493907309,-1.258125141,-3.620026576,-7.884192864
0,2,6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,7,-9.53372376,1.080774657,-2.477347396,-3.433652564,-8.593294144
0,2,8,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,9,-9.90313518,0.545038308,-1.9126011,-4.713531119,-9.43140212
0,2,10,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,11,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,12,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,13,-7.854394149,0.443417873,-1.612380144,-3.195533435,-7.660142353
0,2,14,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
