Plate,Row,Column,Phenotypes.InitialValue,Phenotypes.ExperimentBaseLine,Phenotypes.ExperimentEndAverage,Phenotypes.ColonySize48h,Phenotypes.ChapmanRichardsParam2,Phenotypes.ChapmanRichardsParam3,Phenotypes.ChapmanRichardsParamXtra,Phenotypes.ChapmanRichardsParam1,Phenotypes.ChapmanRichardsParam4,Phenotypes.GenerationTimeStErrOfEstimate,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ChapmanRichardsFit,Phenotypes.GenerationTimeWhen
3,0,0,67901.739879053857,68023.846053635047,4206963.983473042,1642101.776727878,19.584821930210616,-2.8253706211949892,16.085328607264927,1.7573721294039228,1.0843934955921262,0.0010109113975956938,4138940.1374194068,5.8430955454011242,5.9505950787598252,0.99849833066157734,22.198301073916667
3,0,1,50424.788179357412,50544.669428164394,1267210.0202079883,275464.47038710659,24.128581291355765,-3.0239732070623773,15.746651594718383,1.545085491953301,1.8114372760743613,0.0017223517327983845,1216665.350779824,9.5684773433549033,4.6479528883776933,0.99883016101432676,39.879873412777776
3,0,2,56089.750500305032,56222.558763553592,4847522.6465332322,929863.33605822048,20.043031697813159,-2.7377194727585668,15.826408891436515,1.844797722758597,2.254352435039678,0.0010242251767264433,4791300.0877696788,5.3208815043609148,6.4299547138827986,0.99889116548760981,35.458117208333334
3,0,3,51590.120148371949,51788.923546285288,4430097.0253541274,950970.10386661964,16.733153893276516,-2.7544895467511883,15.796719923121433,1.8331525294478259,2.1211648602622959,0.00091343224366997758,4378308.101807842,5.6075206542363016,6.4185509141703587,0.99900340671988719,35.12243489722222
3,0,4,56780.10917264114,56861.188428123009,4953235.9873497412,1181154.3991044103,16.265055062036176,-2.7141982401974625,15.946287207673969,1.8352874183116108,2.1698648340054292,0.0010681346883985468,4896374.7989216186,5.4643443006071841,6.4447832943997838,0.9992008940816377,35.795145902222224
3,0,5,59773.475704678436,60078.253058607421,4858861.1646860838,1268716.5115562503,17.848286567374892,-2.6911024913674337,16.016480560910576,1.8156260355615634,2.1595248524035955,0.00075087663011578327,4798782.9116274761,5.4360541133241025,6.3376315366676916,0.9991457166428338,35.12243489722222
3,0,6,62369.861797235921,62649.836680140208,6522274.4793906324,2030047.6204527358,17.21716045443171,-2.5714605325998141,16.032645651553107,1.8673482785390556,2.263765221978733,0.0012827963085575488,6459624.642710492,4.4533710934283635,6.7019205969937019,0.99885135970699124,31.027948614722224
3,0,7,63376.465055783025,63550.095778168274,6427555.8268866576,2115805.6862752154,17.681493600084043,-2.5778723889546553,16.056260245613249,1.8610665737196921,2.179369320761587,0.0010435333517506769,6364005.7311084894,4.5068472440576235,6.6602321259356678,0.99891467396835343,28.992416197222223
3,0,8,60327.859442439803,60421.878596447037,6068468.5591075392,1985202.5542695338,20.845002326849674,-2.5888802759133718,15.985934369215505,1.8608542611489114,2.1579382228032813,0.00095640731416867658,6008046.6805110918,4.5389217561266824,6.6501176330839229,0.9989155779253921,29.332046526666669
3,0,9,56558.385201490528,56666.938643518835,6066685.0916083306,2065722.9870135984,16.138847127474502,-2.589045298597584,15.894142329044064,1.8755738994959426,2.0889466820978759,0.0020705852106594684,6010018.1529648118,4.5349653609945921,6.7422573510766117,0.99901042848415289,28.992416197222223
3,0,10,57021.958718866808,57175.865488992313,6125103.7507021902,2240380.7814661236,16.774565383495286,-2.5650392666509476,15.900965107174926,1.8754383744304495,2.0720141158050391,0.0016210341265539266,6067927.8852131981,4.4092050205457056,6.7431841720066341,0.99901072930085577,26.615991210000001
3,0,11,54656.96506116377,54746.457550827916,6004091.673366148,2212292.2868315848,19.428705828280027,-2.5515218609081765,15.834065420918238,1.8818219474107036,2.1156574087698186,0.0013815847282580773,5949345.2158153197,4.3532090236140029,6.7770365786121882,0.99905497634804363,28.652892718888889
3,0,12,58341.222619671418,58422.416100501876,6187215.7743716277,2348003.5972050214,19.266220659929839,-2.5489665140988609,15.937994327565301,1.8733297702443559,2.0997243705788704,0.0017719188302884391,6128793.3582711257,4.4241423138687566,6.7266245144002639,0.99912517862602523,25.934363365027775
3,0,13,57470.817791956149,57621.460368440799,6236751.6164686494,2396038.4377652975,16.555797642618785,-2.5488479977575516,15.913653351441468,1.8785183663686034,2.0720093217789932,0.0020272613783533888,6179130.1561002089,4.3224095139093937,6.7580447684948286,0.99908363270991341,25.934363365027775
3,0,14,59922.382354001529,60155.074496923626,6155007.4527061256,2394424.7916663694,18.626511326273565,-2.5500709492467561,15.993517707858357,1.8636899358553345,2.0710790571187405,0.001592675500912819,6094852.3782092016,4.451872049222982,6.6769303495052004,0.99908633992812124,27.971013510277778
3,0,15,61119.982567058207,61429.349461009675,5917601.7253128067,2302995.7610342656,17.299810722325827,-2.5506837103993725,16.024800174304278,1.849382774168649,2.0806510869608794,0.002216913254363843,5856172.3758517969,4.5327524985112282,6.5899406861084699,0.99903511587282712,25.934363365027775
3,0,16,58629.253957446563,58868.293482523157,6300293.4213809157,2537910.2794257565,16.859305175314383,-2.5299114761198691,15.951063933696513,1.8729478441825791,2.0592730923253773,0.0027397376755111669,6241425.1278983923,4.2901915950039848,6.7417844037380945,0.99894033209816058,25.934363365027775
3,0,17,56468.87318879243,56775.609704720679,6225599.9631135724,2503457.5631913436,19.774895947815882,-2.5293048423337248,15.896396768566127,1.878321451792154,2.0546528309186232,0.0013625517016042604,6168824.3534088517,4.2308185374504497,6.7767977727501343,0.99892516389802088,25.934363365027775
3,0,18,61365.160562625097,61856.381103136759,6170649.0211244626,2559730.7732679816,19.274823618813627,-2.5322941988469205,16.042344199700683,1.8546011717194977,2.0294909432176294,0.0021254571743132404,6108792.640021326,4.3964614692682966,6.6403559967122039,0.99900554525593743,25.934363365027775
3,0,19,59463.795325989624,59746.476418653423,5687493.1341652675,2304380.7282005195,18.09698611813462,-2.5414334041592812,15.994641243536966,1.8454895998805827,2.0624909892593086,0.0010121399679682639,5627746.657746614,4.5496115611115826,6.5727954565124023,0.99908819171552055,28.652892718888889
3,0,20,61973.227704785102,62260.723333636968,6118667.10421615,2488374.5985119524,16.866089849586803,-2.5299555937919589,16.038075271833499,1.8544282449886647,2.0906785078411541,0.0021930184133691498,6056406.3808825128,4.4438420864404531,6.6187512611015276,0.99908170087665404,25.934363365027775
3,0,21,60636.965219217847,61157.111566029831,6248499.2675160887,2557039.3781244191,17.670326384120749,-2.5566954924273548,16.090613228057805,1.8531645837020341,1.9921130297614755,0.0019270051852084574,6187342.1559500592,4.5018504836555566,6.6748456518545769,0.9990365851908477,25.934363365027775
3,0,22,56352.661368684545,56482.769634742057,2848930.7971216231,1110864.7648392995,17.089490418207674,-2.6969933676297329,15.870874739348107,1.7125038438374827,1.7945925370042861,0.0017522907043565935,2792448.0274868812,6.1981114808903968,5.6564659346604813,0.99955169976855884,28.992416197222223
3,0,23,56724.010652780911,56929.091163579258,3250100.7431832938,1372692.3879104196,20.705735514067204,-2.6853029112019575,15.88511448471845,1.7406347531729778,1.6478642561769321,0.0023293805399736346,3193171.6520197145,5.6997435315672069,5.8351745595309463,0.99944513776888011,25.261429312222223
3,0,24,72348.326377029749,72658.066746568496,5828430.4024174437,2469701.1935272808,18.488819237342835,-2.5427927821404732,16.289588920993872,1.8034515001297224,2.0449350972814435,0.004479736731634181,5755772.3356708754,4.5838107858187662,6.3258406277370263,0.99892823754128368,26.615991210000001
3,0,25,59227.82108353293,59646.093213112188,5584838.0832028547,2316104.2641857788,17.2575865014439,-2.5369378499387372,15.981920994852475,1.8417371028359708,2.040119213985355,0.0024368860654225763,5525191.9899897426,4.3779516738172983,6.5489439989032263,0.99892030971170587,25.934363365027775
3,0,26,63057.842666558718,63450.879284150571,5986955.0168376239,2576661.5405720472,25.995233698398462,-2.5370018304710902,16.066177929637213,1.8447579403366001,1.9776995611529757,0.0015792773681179324,5923504.137553473,4.3143369681476393,6.5600384636641405,0.99901191691118851,25.593321803611111
3,0,27,60410.289289454275,60769.649811492498,5672339.1654378213,2395929.2299353704,17.721320896171061,-2.5280629155231629,16.003771233202329,1.8419462094688839,2.0511975993078835,0.0025809215574370001,5611569.515626329,4.4442646554098451,6.5444490095120891,0.9989606048454186,25.934363365027775
3,0,28,61685.443047496148,62078.689043091166,5493384.8251359044,2352879.3754146057,16.39803953573038,-2.5228475440918015,16.048913279520459,1.827892125450902,2.0726838547578565,0.0012202856995760954,5431306.1360928128,4.4290341949918828,6.4674534580145124,0.99901348496925624,25.934363365027775
3,0,29,63142.885230228101,63389.264791769521,5556257.2770153293,2397349.6293867445,18.326141812800387,-2.530466760182859,16.053992246856705,1.8298270641097649,2.0274139585459294,0.0015553604595987998,5492868.0122235594,4.4754169433489164,6.4537310579429104,0.99907248379050295,25.934363365027775
3,0,30,59043.57607018073,59209.606550713615,5643597.6420970606,2332173.5324365608,18.158796080865983,-2.5488615303859712,15.941581398005404,1.851386859378555,1.9831512816074814,0.0020194398379359468,5584388.0355463466,4.3769134441835851,6.5746400579960547,0.99904268807197638,25.934363365027775
3,0,31,58403.541987260469,58624.380277753262,5120658.2092757439,1974071.5406718557,17.603522552954711,-2.5350500929032012,15.935229072603329,1.8297103043015162,2.1834825518204721,0.0019603944577100707,5062033.828997991,4.5194421072323676,6.4486846890204923,0.99899801602055061,28.652892718888889
3,0,32,59189.684517492773,59529.545355774382,5759931.5353877433,2282828.7980235061,15.870043324667375,-2.5452781310486157,15.965043797188093,1.8524197931380351,2.0645513526850725,0.0021622374326970982,5700401.9900319688,4.5018647067399744,6.5963019770215379,0.99908271729332243,25.934363365027775
3,0,33,57746.360581697969,57970.459139814709,5673584.9568422129,2173928.3007190479,20.393472165729602,-2.542700942742889,15.910566527780047,1.8578633832358276,2.1229976927804111,0.0015362795775608333,5615614.4977023983,4.4134673565377875,6.6127988937675291,0.99911052947225065,28.652892718888889
